PTSDpubs ID,Study ID,Analysis Type,Treatment Name,Standardized Treatment Name,Intervention Group,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point,Diagnostic Change Definition Number,Diagnostic Change Definition,Percent Achieved Diagnostic Change,Diagnostic Change Numerator for Percent Achieved,Diagnostic Change Denominator for Percent Achieved,Clinically Meaningful Response Definition Number,Clinically Meaningful Response Definition,Percent Achieved Clinically Meaningful Response,Clinically Meaningful Response Numerator for Percent Achieved,Clinically Meaningful Response Denominator for Percent Achieved,Unique Row Identifier
22232,brady2000,ITT,Placebo,Placebo,B,,,0,,,,,,1,≥30% decrease in CAPS-2 score and CGI-I score of 1 or 2,0.32,,,brady2000_ITT_B_0_1
1629857,brocker2024,ITT,Counsellor-supported PTSD Coach,Internet-based facilitated self-help,A,Model accounts for missing data,Generalized estimating equation,0,1,PCL-5 <33,0.5,16,32,1,CAPS-5 <23,0.37,12,32,brocker2024_ITT_A_0_1
1629857,brocker2024,ITT,Counsellor-supported PTSD Coach,Internet-based facilitated self-help,A,Model accounts for missing data,Generalized estimating equation,12,1,PCL-5 <33,0.72,23,32,1,CAPS-5 <23,0.69,22,32,brocker2024_ITT_A_12_1
1629857,brocker2024,ITT,Counsellor-supported PTSD Coach,Internet-based facilitated self-help,A,Model accounts for missing data,Generalized estimating equation,4,1,PCL-5 <33,0.62,20,32,1,CAPS-5 <23,0.56,18,32,brocker2024_ITT_A_4_1
1629857,brocker2024,ITT,Enhanced TAU,Treatment as usual (TAU),B,Model accounts for missing data,Generalized estimating equation,0,1,PCL-5 <33,0.37,11,30,1,CAPS-5 <23,0.2,6,30,brocker2024_ITT_B_0_1
1629857,brocker2024,ITT,Enhanced TAU,Treatment as usual (TAU),B,Model accounts for missing data,Generalized estimating equation,12,1,PCL-5 <33,0.33,10,30,1,CAPS-5 <23,0.27,8,30,brocker2024_ITT_B_12_1
1629857,brocker2024,ITT,Enhanced TAU,Treatment as usual (TAU),B,Model accounts for missing data,Generalized estimating equation,4,1,PCL-5 <33,0.37,11,30,1,CAPS-5 <23,0.3,9,30,brocker2024_ITT_B_4_1
48274,brom2017,ITT,Somatic Experiencing,Somatic Experiencing,A,,,0,1,Not meeting criteria for PTSD according to CAPS,,,,,,,,,brom2017_ITT_A_0_1
48274,brom2017,ITT,Waitlist,Waitlist,B,,,0,1,Not meeting criteria for PTSD according to CAPS,,,,,,,,,brom2017_ITT_B_0_1
49661,brunet2018,Completer,Propranolol + traumatic memory reactivation,Propranolol + imaginal exposure (experimental paradigm),A,,,0,1,Not meeting criteria for PTSD according to CAPS,0.407,,,,,,,,brunet2018_Completer_A_0_1
49661,brunet2018,ITT,Propranolol + traumatic memory reactivation,Propranolol + imaginal exposure (experimental paradigm),A,,,0,,,,,,1,Decrease of ≥10 on PCL-S,0.6333,19,30,brunet2018_ITT_A_0_1
49661,brunet2018,Completer,Placebo + traumatic memory reactivation,Imaginal exposure (experimental paradigm) + placebo,B,,,0,1,Not meeting criteria for PTSD according to CAPS,0.197,,,,,,,,brunet2018_Completer_B_0_1
49661,brunet2018,ITT,Placebo + traumatic memory reactivation,Imaginal exposure (experimental paradigm) + placebo,B,,,0,,,,,,1,Decrease of ≥10 on PCL-S,0.3333,10,30,brunet2018_ITT_B_0_1
25807,bryant2003,Completer,Prolonged Imaginal Exposure with Cognitive Restructuring,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,0,1,Not meeting criteria for PTSD according to CAPS-2,0.87,,,,,,,,bryant2003_Completer_A_0_1
