,PTSDpubs_ID,Study_ID,Analysis_Type,Treatment_Name,Standardized_Treatment_Name,Interv_Group,Missing_Data_Method,Stats_Analysis_Method,Assessment_Point,Diag_Change_Def_Num,Diag_Change_Definition,Percent_Diag_Change,Diag_Change_Numerator,Diag_Change_Denominator,Clin_Meaningful_Def_Num,Clin_Meaningful_Def,Pcnt_Clin_Meaningful_Resp,Clin_Meaningful_Numerator,Clin_Meaningful_Denominator,Row_ID,bad_data,any_outliers,potential_issues,Treatment_Name_Cleaned,Treatment_Category
63,25272,blanchard2003,Completer,Supportive psychotherapy,PTSD psychotherapy,B,,,0.0,1,Not meeting criteria for PTSD according to the CAPS,0.4762,10.0,21.0,,,,,,blanchard2003_Completer_B_0_1,False,False,False,Supportive psychotherapy,Other
64,25272,blanchard2003,Follow-up completer,Supportive psychotherapy,PTSD psychotherapy,B,,,12.0,1,Not meeting criteria for PTSD according to the CAPS,0.4286,9.0,21.0,,,,,,blanchard2003_Follow-up completer_B_12_1,False,False,False,Supportive psychotherapy,Other
65,25272,blanchard2003,Completer,Waitlist,Waitlist,C,,,0.0,1,Not meeting criteria for PTSD according to the CAPS,0.2381,5.0,21.0,,,,,,blanchard2003_Completer_C_0_1,False,False,False,Waitlist,Waitlist
66,41533,bohus2013,ITT,DBT-PTSD,Dialectical Behavior Therapy (DBT) +  trauma-focused cognitive behavioral therapy (TF-CBT),A,,,12.0,1,Not meeting DSM-IV PTSD criteria according to CAPS,0.3889,14.0,36.0,1,Reduction of >= 30 points on CAPS score,0.3889,14.0,36.0,bohus2013_ITT_A_12_1,False,False,False,DBT-PTSD,Other
67,41533,bohus2013,ITT,TAU waitlist,Treatment as usual (TAU),B,,,12.0,1,Not meeting DSM-IV PTSD criteria according to CAPS,0.1053,4.0,38.0,1,Reduction of >= 30 points on CAPS score,0.0263,1.0,38.0,bohus2013_ITT_B_12_1,False,False,False,TAU waitlist,Other
70,44517,bomyea2015,Completer,High Interference Control Training,Interference control training,A,,,0.0,1,Not meeting criteria for PTSD according to CAPS,0.77,,,1,≥80% reduction in total PTSD symptoms,0.85,,,bomyea2015_Completer_A_0_1,False,False,False,High Interference Control Training,Other
71,44517,bomyea2015,ITT,High Interference Control Training,Interference control training,A,,,0.0,1,Not meeting criteria for PTSD according to CAPS,0.45,,,1,≥80% reduction in total PTSD symptoms,0.5,,,bomyea2015_ITT_A_0_1,False,False,False,High Interference Control Training,Other
72,44517,bomyea2015,Completer,Low Interference Control Training,Interference control training,B,,,0.0,1,Not meeting criteria for PTSD according to CAPS,0.63,,,1,≥80% reduction in total PTSD symptoms,0.75,,,bomyea2015_Completer_B_0_1,False,False,False,Low Interference Control Training,Other
73,44517,bomyea2015,ITT,Low Interference Control Training,Interference control training,B,,,0.0,1,Not meeting criteria for PTSD according to CAPS,0.3,,,1,≥80% reduction in total PTSD symptoms,0.3,,,bomyea2015_ITT_B_0_1,False,False,False,Low Interference Control Training,Other
74,38465,bormann2013,ITT,Mantram Repetition Program + TAU,Mantram Repetition,A,,,0.0,,,,,,1,≥10-point reduction on CAPS and CAPS score ≤45,0.24,,,bormann2013_ITT_A_0_1,False,False,False,Mantram Repetition Program + TAU,Other
75,38465,bormann2013,ITT,TAU,Treatment as usual (TAU),B,,,0.0,,,,,,1,≥10-point reduction on CAPS and CAPS score ≤45,0.12,,,bormann2013_ITT_B_0_1,False,False,False,TAU,TAU
82,22232,brady2000,ITT,Sertraline,Sertraline,A,,,0.0,,,,,,1,≥30% decrease in CAPS-2 score and CGI-I score of 1 or 2,0.53,,,brady2000_ITT_A_0_1,False,False,False,Sertraline,Other
83,22232,brady2000,ITT,Placebo,Placebo,B,,,0.0,,,,,,1,≥30% decrease in CAPS-2 score and CGI-I score of 1 or 2,0.32,,,brady2000_ITT_B_0_1,False,False,False,Placebo,Other
84,1629857,brocker2024,ITT,Counsellor-supported PTSD Coach,Internet-based facilitated self-help,A,Model accounts for missing data,Generalized estimating equation,0.0,1,PCL-5 <33,0.5,16.0,32.0,1,CAPS-5 <23,0.37,12.0,32.0,brocker2024_ITT_A_0_1,False,False,False,Counsellor-supported PTSD Coach,Other
85,1629857,brocker2024,ITT,Counsellor-supported PTSD Coach,Internet-based facilitated self-help,A,Model accounts for missing data,Generalized estimating equation,12.0,1,PCL-5 <33,0.72,23.0,32.0,1,CAPS-5 <23,0.69,22.0,32.0,brocker2024_ITT_A_12_1,False,False,False,Counsellor-supported PTSD Coach,Other
86,1629857,brocker2024,ITT,Counsellor-supported PTSD Coach,Internet-based facilitated self-help,A,Model accounts for missing data,Generalized estimating equation,4.0,1,PCL-5 <33,0.62,20.0,32.0,1,CAPS-5 <23,0.56,18.0,32.0,brocker2024_ITT_A_4_1,False,False,False,Counsellor-supported PTSD Coach,Other
87,1629857,brocker2024,ITT,Enhanced TAU,Treatment as usual (TAU),B,Model accounts for missing data,Generalized estimating equation,0.0,1,PCL-5 <33,0.37,11.0,30.0,1,CAPS-5 <23,0.2,6.0,30.0,brocker2024_ITT_B_0_1,False,False,False,Enhanced TAU,Other
88,1629857,brocker2024,ITT,Enhanced TAU,Treatment as usual (TAU),B,Model accounts for missing data,Generalized estimating equation,12.0,1,PCL-5 <33,0.33,10.0,30.0,1,CAPS-5 <23,0.27,8.0,30.0,brocker2024_ITT_B_12_1,False,False,False,Enhanced TAU,Other
89,1629857,brocker2024,ITT,Enhanced TAU,Treatment as usual (TAU),B,Model accounts for missing data,Generalized estimating equation,4.0,1,PCL-5 <33,0.37,11.0,30.0,1,CAPS-5 <23,0.3,9.0,30.0,brocker2024_ITT_B_4_1,False,False,False,Enhanced TAU,Other
90,48274,brom2017,ITT,Somatic Experiencing,Somatic Experiencing,A,,,0.0,1,Not meeting criteria for PTSD according to CAPS,,,,,,,,,brom2017_ITT_A_0_1,False,False,False,Somatic Experiencing,Other
91,48274,brom2017,ITT,Waitlist,Waitlist,B,,,0.0,1,Not meeting criteria for PTSD according to CAPS,,,,,,,,,brom2017_ITT_B_0_1,False,False,False,Waitlist,Waitlist
92,49661,brunet2018,Completer,Propranolol + traumatic memory reactivation,Propranolol + imaginal exposure (experimental paradigm),A,,,0.0,1,Not meeting criteria for PTSD according to CAPS,0.407,,,,,,,,brunet2018_Completer_A_0_1,False,False,False,Propranolol + traumatic memory reactivation,Other
93,49661,brunet2018,ITT,Propranolol + traumatic memory reactivation,Propranolol + imaginal exposure (experimental paradigm),A,,,0.0,,,,,,1,Decrease of ≥10 on PCL-S,0.6333,19.0,30.0,brunet2018_ITT_A_0_1,False,False,False,Propranolol + traumatic memory reactivation,Other
94,49661,brunet2018,Completer,Placebo + traumatic memory reactivation,Imaginal exposure (experimental paradigm) + placebo,B,,,0.0,1,Not meeting criteria for PTSD according to CAPS,0.197,,,,,,,,brunet2018_Completer_B_0_1,False,False,False,Placebo + traumatic memory reactivation,Other
95,49661,brunet2018,ITT,Placebo + traumatic memory reactivation,Imaginal exposure (experimental paradigm) + placebo,B,,,0.0,,,,,,1,Decrease of ≥10 on PCL-S,0.3333,10.0,30.0,brunet2018_ITT_B_0_1,False,False,False,Placebo + traumatic memory reactivation,Other
96,25807,bryant2003,Completer,Prolonged Imaginal Exposure with Cognitive Restructuring,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,0.0,1,Not meeting criteria for PTSD according to CAPS-2,0.87,,,,,,,,bryant2003_Completer_A_0_1,False,False,False,Prolonged Imaginal Exposure with Cognitive Restructuring,Other
97,25807,bryant2003,Completer,Prolonged Imaginal Exposure with Cognitive Restructuring,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,26.0,1,Not meeting criteria for PTSD according to CAPS-2,0.8,,,1,CAPS intensity score plus CAPS frequency score <19 and BDI-2 score <10,0.6,,,bryant2003_Completer_A_26_1,False,False,False,Prolonged Imaginal Exposure with Cognitive Restructuring,Other
98,25807,bryant2003,ITT,Prolonged Imaginal Exposure with Cognitive Restructuring,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,0.0,1,Not meeting criteria for PTSD according to CAPS-2,0.65,,,,,,,,bryant2003_ITT_A_0_1,False,False,False,Prolonged Imaginal Exposure with Cognitive Restructuring,Other
99,25807,bryant2003,ITT,Prolonged Imaginal Exposure with Cognitive Restructuring,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,26.0,1,Not meeting criteria for PTSD according to CAPS-2,0.6,,,1,CAPS intensity score plus CAPS frequency score <19 and BDI-2 score <10,0.4,,,bryant2003_ITT_A_26_1,False,False,False,Prolonged Imaginal Exposure with Cognitive Restructuring,Other
100,25807,bryant2003,Completer,Imaginal Exposure,Imaginal exposure,B,,,0.0,1,Not meeting criteria for PTSD according to CAPS-2,0.67,,,,,,,,bryant2003_Completer_B_0_1,False,False,False,Imaginal Exposure,Other
101,25807,bryant2003,Completer,Imaginal Exposure,Imaginal exposure,B,,,26.0,1,Not meeting criteria for PTSD according to CAPS-2,0.67,,,1,CAPS intensity score plus CAPS frequency score <19 and BDI-2 score <10,0.2,,,bryant2003_Completer_B_26_1,False,False,False,Imaginal Exposure,Other
102,25807,bryant2003,ITT,Imaginal Exposure,Imaginal exposure,B,,,0.0,1,Not meeting criteria for PTSD according to CAPS-2,0.5,,,,,,,,bryant2003_ITT_B_0_1,False,False,False,Imaginal Exposure,Other
103,25807,bryant2003,ITT,Imaginal Exposure,Imaginal exposure,B,,,26.0,1,Not meeting criteria for PTSD according to CAPS-2,0.5,,,1,CAPS intensity score plus CAPS frequency score <19 and BDI-2 score <10,0.15,,,bryant2003_ITT_B_26_1,False,False,False,Imaginal Exposure,Other
104,25807,bryant2003,Completer,Supportive Counseling,Supportive counseling,C,,,0.0,1,Not meeting criteria for PTSD according to CAPS-2,0.4,,,,,,,,bryant2003_Completer_C_0_1,False,False,False,Supportive Counseling,Supportive Counseling
105,25807,bryant2003,Completer,Supportive Counseling,Supportive counseling,C,,,26.0,1,Not meeting criteria for PTSD according to CAPS-2,0.27,,,1,CAPS intensity score plus CAPS frequency score <19 and BDI-2 score <10,0.0,,,bryant2003_Completer_C_26_1,False,False,False,Supportive Counseling,Supportive Counseling
106,25807,bryant2003,ITT,Supportive Counseling,Supportive counseling,C,,,0.0,1,Not meeting criteria for PTSD according to CAPS-2,0.33,,,,,,,,bryant2003_ITT_C_0_1,False,False,False,Supportive Counseling,Supportive Counseling
